Label,Query
"Estadísticas del juego,metricas y popularidad",¿Cuál es la clasificación general de Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Qué lugar ocupa Viticulture en el ranking de estrategia?
"Estadísticas del juego,metricas y popularidad",¿Cuál es la calificación promedio de Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores poseen actualmente Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas copias de Viticulture se poseían previamente?
"Estadísticas del juego,metricas y popularidad",¿Cuántas copias de Viticulture están disponibles para intercambio?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores desean intercambiar Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces se ha agregado Viticulture a la lista de deseos?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores poseen partes específicas del juego?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores desean partes específicas del juego?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 1?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 2?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 3?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 4?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 5?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 6?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 7?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 8?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 9?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 10?
"Estadísticas del juego,metricas y popularidad",¿Cuántos comentarios ha recibido Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántos fans tiene Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas visitas de página ha recibido Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces se ha jugado Viticulture en total?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces se ha jugado Viticulture este mes?
"Estadísticas del juego,metricas y popularidad",¿Cuál es la desviación estándar de las calificaciones?
"Estadísticas del juego,metricas y popularidad",¿Qué porcentaje de usuarios calificó con la puntuación máxima?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el peso de complejidad asignado a Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el promedio de calificaciones recibidas?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el promedio de las calificaciones dadas por los usuarios?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron con un valor mayor a 7?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios dieron una puntuación menor a 6?
"Estadísticas del juego,metricas y popularidad",¿Qué tan popular es Viticulture según su clasificación general?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el total de calificaciones registradas?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios vendieron copias después de poseerlas?
"Estadísticas del juego,metricas y popularidad",¿Qué juegos tienen más visitas que Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el peso de complejidad asignado a Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces se ha jugado Viticulture en total?
"Estadísticas del juego,metricas y popularidad",¿Qué juegos fueron vendidos después de ser poseídos?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores desean partes específicas del juego?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores poseen partes específicas del juego?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores agregaron Viticulture a su lista de deseos?
"Estadísticas del juego,metricas y popularidad",¿Cuántas copias están disponibles para intercambio?
"Estadísticas del juego,metricas y popularidad",¿Cuántos usuarios calificaron Viticulture con un 9?
"Estadísticas del juego,metricas y popularidad",¿Qué porcentaje de usuarios le dio la puntuación máxima?
"Estadísticas del juego,metricas y popularidad",¿Qué tan popular es Viticulture según su clasificación?
"Estadísticas del juego,metricas y popularidad",¿Cuántos comentarios tiene Viticulture en comparación con otros juegos?
"Estadísticas del juego,metricas y popularidad",¿Cuál es el promedio de calificaciones en Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces ha sido agregado Viticulture a la lista de deseos?
"Estadísticas del juego,metricas y popularidad",¿Cuántos comentarios tiene Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Qué clasificación ocupa Viticulture en el ranking de estrategia?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores poseen copias de Viticulture actualmente?
"Estadísticas del juego,metricas y popularidad",¿Qué tan popular es Viticulture según el número de visitas de página?
"Estadísticas del juego,metricas y popularidad",¿Cuántas calificaciones recibió Viticulture con un 8?
"Estadísticas del juego,metricas y popularidad",¿Cuántas veces se ha jugado Viticulture en total?
"Estadísticas del juego,metricas y popularidad",¿Qué puntuación promedio le dieron los usuarios a Viticulture?
"Estadísticas del juego,metricas y popularidad",¿Cuántos jugadores vendieron copias después de poseerlas?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Quién diseñó Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué otros juegos diseñó Jamey Stegmaier?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué otros juegos diseñó Alan Stone?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué editoras publicaron Viticulture además de Stonemaier Games?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por Regatul Jocurilor?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por One Moment Games?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por Stonemaier Games después de 2013?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Jacqui Davis después de 2020?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué mecánicas se usan en Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos utilizan la mecánica de gestión de mano?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos utilizan la mecánica de contratos?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos pertenecen a la categoría económica?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron diseñados por Jamey Stegmaier y Alan Stone?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué categorías se aplican a Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos están relacionados con el crowdfunding en Kickstarter?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos son compatibles con TableTop Simulator?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos tienen implementaciones digitales?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por Stonemaier Games en 2015?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos tienen temática de 'Food & Drink'?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos están clasificados como juegos económicos?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos están relacionados con el tema de la agricultura?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró David Montgomery en 2013?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Beth Sobel en 2015?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué editoras publicaron más de un juego en el grafo?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron ilustrados por David Montgomery y Beth Sobel?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Jacqui Davis y David Montgomery?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos de 2017 fueron ilustrados por Jacqui Davis?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos están relacionados con el vino como temática principal?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos están asociados con la familia 'Country: Italy'?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por Stonemaier Games en 2022?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué mecánicas están relacionadas con la gestión de trabajadores?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué mecánicas están relacionadas con ingresos en juegos?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos utilizan 'Turn Order: Progressive'?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos utilizan la mecánica de carreras?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos tienen adaptaciones digitales en Google Play?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró David Montgomery?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Jacqui Davis en 2015?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos fueron publicados por One Moment Games en 2022?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos relacionados con el crowdfunding se lanzaron en 2015?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Christine Santana?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué diseñador está relacionado con la expansión de Viticulture Tuscany?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos diseñó Jamey Stegmaier en 2023?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué artistas ilustraron la edición esencial de Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué categoría representa el tema principal de Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué editoras están asociadas con Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos utilizan mecánicas de contratos y gestión de ingresos?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué familia de juegos incluye a Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos ilustró Beth Sobel en 2015?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué ilustrador no tiene otros proyectos además de Viticulture?
"Información sobre los artistas,diseñadores,editoriales y categorias",¿Qué juegos de la categoría 'Económica' fueron ilustrados por Jacqui Davis?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuál es el objetivo principal en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se obtienen puntos de victoria en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos puntos de victoria se necesitan para ganar?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede cuando un jugador alcanza 20 puntos de victoria?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si hay un empate al final del juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué significa la colocación de trabajadores en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué acciones se pueden realizar en verano?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué acciones se pueden realizar en invierno?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre al final de cada año en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se resuelve el orden de los jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué es el track de despertar y cómo funciona?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si se agotan las cartas de un mazo?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden asignar trabajadores fuera de temporada?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántas acciones se pueden realizar en cada temporada?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representan las fichas de vino y de uva?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representan los campos en el tablero del jugador?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué tipos de cartas hay en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos tableros de viñedo incluye el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué hacen los trabajadores grandes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué son las cartas de visitante y qué hacen?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos meeples de trabajador hay en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representan los tokens de puntos de victoria?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué función cumplen los roosters en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué recursos iniciales recibe cada jugador?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se configuran los tableros de los jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se asigna el primer jugador?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas se distribuyen al comienzo del juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué representa el tablero principal en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cómo se colocan los trabajadores en el tablero?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si todos los espacios de acción están ocupados?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuál es la mejor estrategia para obtener puntos de victoria rápidamente?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo es mejor vender campos en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas ofrecen mejores beneficios en la fase de invierno?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estructuras son esenciales para ganar en Viticulture?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estrategias se recomiendan para jugadores principiantes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué tan importante es construir una cabaña temprano?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo es mejor usar cartas de visitantes?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten realizar varias acciones a la vez?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué edificios deben construirse primero para maximizar la producción?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué estrategias funcionan mejor con cuatro jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si un jugador entrena a un trabajador tarde?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si no hay espacio para almacenar uvas?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden combinar uvas de diferentes campos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si no se puede cumplir una orden de vino?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué reglas se aplican al usar un trabajador grande?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si un jugador no puede pagar una deuda?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuándo se obtienen los pagos residuales?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Cuántos trabajadores puede tener un jugador como máximo?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten ganar puntos adicionales?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué pasa si un jugador termina el año con menos de 0 puntos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden bloquear acciones a otros jugadores?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si dos jugadores eligen la misma acción?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué acciones permiten ganar bonos en el juego?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si varios jugadores intentan usar la misma estructura?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Se pueden jugar cartas de visitante varias veces?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué cartas permiten evitar bloqueos?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre cuando un jugador pasa antes que otros?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué beneficios se obtienen al despertar último?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué sucede si un jugador no tiene cartas para jugar?
"Informacion sobre objetivos del juegos,reglas generales,componentes y setup",¿Qué ocurre si se agotan todos los mazos de cartas?
